row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,hierarchy_total_tokens,hierarchy_avg_tokens,hierarchy_max_tokens,hierarchy_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Hierarchy1_tokens,Hierarchy2_tokens,Hierarchy3_tokens
111,10,7197,7207,3874,1291.33,2583,0.53828,2316,772.0,772,0.321801,916,375,2583,772,772,772
112,10,4452,4462,975,325.0,416,0.219003,1658,552.67,605,0.372417,328,416,231,605,605,448
113,10,6410,6420,2741,913.67,2077,0.427613,2316,772.0,772,0.36131,2077,537,127,772,772,772
114,10,5619,5629,1027,342.33,407,0.182773,3681,1227.0,1227,0.655099,407,350,270,1227,1227,1227
115,10,8271,8281,4489,1496.33,2920,0.54274,2043,681.0,772,0.247008,737,2920,832,772,772,499
116,10,5218,5228,1997,665.67,1111,0.382714,2316,772.0,772,0.443848,189,1111,697,772,772,772
117,10,4992,5002,2002,667.33,1425,0.401042,2407,802.33,863,0.482171,1425,414,163,772,772,863
118,10,5946,5956,1387,462.33,576,0.233266,2522,840.67,887,0.424151,576,359,452,772,863,887
119,10,5391,5401,2680,893.33,2332,0.497125,2316,772.0,772,0.429605,91,257,2332,772,772,772
120,10,2698,2708,748,249.33,276,0.277242,1449,483.0,627,0.537064,276,249,223,627,323,499
121,10,10106,10116,6123,2041.0,5251,0.605878,2316,772.0,772,0.229171,5251,559,313,772,772,772
122,10,6361,6371,3189,1063.0,1459,0.501336,2316,772.0,772,0.364094,1459,278,1452,772,772,772
123,10,6081,6091,3116,1038.67,2335,0.512416,2316,772.0,772,0.380858,508,2335,273,772,772,772
124,10,3692,3702,1044,348.0,407,0.282774,1887,629.0,772,0.511105,289,407,348,772,501,614
125,10,4195,4205,912,304.0,365,0.217402,2316,772.0,772,0.552086,325,365,222,772,772,772
126,10,2535,2545,373,124.33,163,0.14714,1416,472.0,772,0.55858,110,163,100,772,322,322
127,10,7031,7041,4199,1399.67,3166,0.597212,2316,772.0,772,0.329398,836,197,3166,772,772,772
128,10,3989,3999,1918,639.33,1065,0.480822,1528,509.33,772,0.383053,1065,507,346,772,378,378
129,10,7097,7107,3116,1038.67,2335,0.439059,2316,772.0,772,0.326335,2335,273,508,772,772,772
130,10,13570,13580,7437,2479.0,6209,0.548047,1759,586.33,863,0.129624,455,773,6209,863,448,448
131,10,7670,7680,3141,1047.0,1526,0.409518,2316,772.0,772,0.301956,1396,219,1526,772,772,772
132,10,4992,5002,2247,749.0,1326,0.45012,2316,772.0,772,0.463942,449,472,1326,772,772,772
133,10,6270,6280,2771,923.67,2183,0.441946,2522,840.67,887,0.402233,155,2183,433,887,772,863
134,10,8471,8481,5462,1820.67,3365,0.644788,2407,802.33,863,0.284146,663,1434,3365,772,772,863
135,10,2975,2985,1035,345.0,399,0.347899,1023,341.0,378,0.343866,312,324,399,378,322,323
136,10,4120,4130,970,323.33,537,0.235437,2316,772.0,772,0.562136,306,537,127,772,772,772
137,10,7201,7211,3814,1271.33,1608,0.529649,2431,810.33,887,0.337592,1489,717,1608,772,772,887
138,10,6900,6910,2957,985.67,2133,0.428551,2316,772.0,772,0.335652,378,446,2133,772,772,772
139,10,7919,7929,2753,917.67,1931,0.347645,2407,802.33,863,0.303953,1931,537,285,772,772,863
140,10,4581,4591,921,307.0,374,0.201048,2174,724.67,863,0.474569,231,374,316,863,863,448
141,10,4628,4638,1905,635.0,1034,0.411625,1922,640.67,772,0.415298,1034,217,654,772,772,378
142,10,11912,11922,6747,2249.0,5388,0.566404,2589,863.0,863,0.217344,5388,306,1053,863,863,863
143,10,4817,4827,1055,351.67,632,0.219016,2316,772.0,772,0.480797,223,632,200,772,772,772
144,10,4342,4352,1190,396.67,593,0.274067,2522,840.67,887,0.580838,439,593,158,772,863,887
145,10,4426,4436,1431,477.0,505,0.323317,2285,761.67,1227,0.516268,467,505,459,772,1227,286
146,10,5230,5240,2567,855.67,1144,0.490822,1507,502.33,863,0.288145,577,1144,846,863,322,322
147,10,6325,6335,2476,825.33,1143,0.391462,2589,863.0,863,0.409328,863,1143,470,863,863,863
148,10,7062,7072,4523,1507.67,2805,0.64047,1631,543.67,863,0.230954,2805,976,742,384,384,863
149,10,7212,7222,3289,1096.33,2096,0.456045,2589,863.0,863,0.358985,2096,850,343,863,863,863
150,10,5140,5150,1975,658.33,1092,0.384241,1903,634.33,863,0.370233,696,1092,187,863,614,426
151,10,6642,6652,3111,1037.0,1599,0.468383,2589,863.0,863,0.389792,612,900,1599,863,863,863
152,10,5176,5186,2097,699.0,999,0.405139,2498,832.67,863,0.482612,999,701,397,772,863,863
153,10,4972,4982,1569,523.0,827,0.315567,2589,863.0,863,0.520716,379,827,363,863,863,863
154,10,4648,4658,1264,421.33,845,0.271945,1900,633.33,863,0.408778,179,240,845,589,448,863
155,10,4780,4790,2305,768.33,1739,0.482218,2013,671.0,863,0.42113,1739,256,310,772,378,863
156,10,11347,11357,7575,2525.0,5388,0.667577,2589,863.0,863,0.228166,1569,5388,618,863,863,863
157,10,5547,5557,2780,926.67,1868,0.501172,1685,561.67,863,0.303768,1868,142,770,438,384,863
158,10,6205,6215,3176,1058.67,1812,0.511845,2589,863.0,863,0.417244,834,530,1812,863,863,863
159,10,3091,3101,908,302.67,454,0.293756,1288,429.33,863,0.416694,454,243,211,863,279,146
160,10,3768,3778,740,246.67,342,0.196391,2589,863.0,863,0.687102,212,186,342,863,863,863
161,10,5677,5687,2354,784.67,1272,0.414656,2589,863.0,863,0.456051,1272,382,700,863,863,863
162,10,10184,10194,3077,1025.67,2183,0.302141,2407,802.33,863,0.236351,210,2183,684,863,772,772
163,10,6900,6910,2595,865.0,1227,0.376087,2780,926.67,1145,0.402899,1227,962,406,863,772,1145
164,10,4068,4078,1800,600.0,929,0.442478,1759,586.33,863,0.432399,929,483,388,448,448,863
165,10,5159,5169,808,269.33,332,0.156619,2186,728.67,983,0.423726,304,172,332,614,589,983
166,10,6174,6184,1785,595.0,1111,0.289116,2498,832.67,863,0.4046,250,424,1111,863,863,772
167,10,9407,9417,6789,2263.0,5060,0.721697,1549,516.33,772,0.164665,5060,1283,446,436,772,341
168,10,4623,4633,901,300.33,582,0.194895,2199,733.0,888,0.475665,184,582,135,888,448,863
169,10,6611,6621,3435,1145.0,2747,0.519589,2589,863.0,863,0.39162,209,479,2747,863,863,863
170,10,9087,9097,5911,1970.33,4862,0.65049,2613,871.0,887,0.287554,794,255,4862,863,887,863
171,10,9491,9501,5900,1966.67,3132,0.621642,2498,832.67,863,0.263197,1911,3132,857,863,863,772
172,10,13179,13189,10286,3428.67,4766,0.780484,2315,771.67,863,0.175658,2105,3415,4766,863,863,589
173,10,9437,9447,3838,1279.33,2135,0.406697,1953,651.0,863,0.206951,119,2135,1584,589,501,863
174,10,8021,8031,3435,1145.0,2747,0.428251,2589,863.0,863,0.322778,479,209,2747,863,863,863
175,10,7383,7393,1028,342.67,460,0.139239,2589,863.0,863,0.35067,460,166,402,863,863,863
176,10,9909,9919,5644,1881.33,4334,0.569583,2589,863.0,863,0.261278,375,4334,935,863,863,863
177,10,4041,4051,1149,383.0,618,0.284336,2315,771.67,863,0.572878,223,618,308,863,863,589
178,10,4893,4903,1913,637.67,931,0.390967,2498,832.67,863,0.510525,401,581,931,863,772,863
179,10,9514,9524,2469,823.0,1973,0.259512,1428,476.0,501,0.150095,1973,271,225,501,426,501
180,10,11712,11722,7021,2340.33,5594,0.599471,2589,863.0,863,0.221055,5594,177,1250,863,863,863
181,10,10130,10140,7344,2448.0,3908,0.724975,2174,724.67,863,0.21461,3908,3223,213,863,863,448
182,10,9681,9691,6074,2024.67,3792,0.627415,2589,863.0,863,0.267431,3792,1101,1181,863,863,863
183,10,5584,5594,2471,823.67,1631,0.442514,2589,863.0,863,0.463646,617,1631,223,863,863,863
184,10,8846,8856,4555,1518.33,3648,0.514922,2589,863.0,863,0.292675,3648,403,504,863,863,863
185,10,6686,6696,3267,1089.0,2398,0.488633,2589,863.0,863,0.387227,195,674,2398,863,863,863
186,10,4979,4989,1788,596.0,984,0.359108,1254,418.0,438,0.251858,97,984,707,378,438,438
187,10,6189,6199,2713,904.33,1092,0.438358,2381,793.67,863,0.384715,1092,701,920,863,655,863
188,10,5377,5387,2095,698.33,958,0.389622,2407,802.33,863,0.447647,958,610,527,863,772,772
189,10,6503,6513,3039,1013.0,1306,0.467323,2589,863.0,863,0.398124,1231,502,1306,863,863,863
190,10,5222,5232,1289,429.67,547,0.24684,3226,1075.33,1227,0.617771,439,303,547,1227,1227,772
191,10,6151,6161,2873,957.67,1301,0.467079,2589,863.0,863,0.420907,1301,1104,468,863,863,863
192,10,6312,6322,2734,911.33,1876,0.433143,2174,724.67,863,0.344423,1876,252,606,863,448,863
193,10,5426,5436,1157,385.67,559,0.213233,2316,772.0,772,0.426834,262,336,559,772,772,772
194,10,7028,7038,4772,1590.67,3143,0.678998,1683,561.0,772,0.239471,3143,1062,567,589,322,772
